			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Offra	Offra	5	 	 	x	 	25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Offra}

Destroys a friendly creature group in order to resurrect a dead group.  Number of resurrected creatures depends on the caster's spell power and the health of the destroyed stack.
"	"{Grundläggande Offra}

Destroys a friendly creature group in order to resurrect a dead group.  Number of resurrected creatures depends on the caster's spell power and the health of the destroyed stack.
"	"{Avancerad Offra}

Destroys a friendly creature group in order to resurrect a dead group.  Number of resurrected creatures depends on the caster's spell power and the health of the destroyed stack.

Restores more creature health than Grundläggande Offra.
"	"{Sofistikerad Offra}

Destroys a friendly creature group in order to resurrect a dead group.  Number of resurrected creatures depends on the caster's spell power and the health of the destroyed stack.

Restores more creature health than Avancerad Offra.
"	 COMBAT_SPELL|CREATURE_TARGET
Välsigna	Välsigna	1	 	x	 	 	5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Välsigna}

Causes the selected unit to inflict maximum damage in combat.
"	"{Grundläggande Välsigna}

Causes the selected unit to inflict maximum damage in combat.
"	"{Avancerad Välsigna}

Causes the selected unit to inflict greater than their normal maximum damage in combat.
"	"{Sofistikerad Välsigna}

Causes all friendly units to inflict greater than their normal maximum damage in combat.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Förbanna	Förbanna	1	 		x	 	6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Förbanna}

Causes the selected enemy unit to inflict minimum damage in combat.
"	"{Grundläggande Förbanna}

Causes the selected enemy unit to inflict minimum damage in combat.
"	"{Avancerad Förbanna}

Causes the selected enemy unit to inflict less than their normal minimum damage in combat.
"	"{Sofistikerad Förbanna}

Causes all enemy units to inflict less than their normal minimum damage in combat.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Blodtörst	Blodtörst	1	 	 	x	 	5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Blodtörst}

Increases the hand-to-hand damage inflicted by the selected unit.
"	"{Grundläggande Blodtörst}

Increases the hand-to-hand damage inflicted by the selected unit.
"	"{Avancerad Blodtörst}

Increases the hand-to-hand damage inflicted by the selected unit.

Effect is twice that of Grundläggande Blodtörst.
"	"{Sofistikerad Blodtörst}

Increases the hand-to-hand damage inflicted by all friendly units.

Effect is twice that of Grundläggande Blodtörst.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Precision	Precision	2	 	 	 	x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Precision}

Increases the ranged attack damage inflicted by the selected unit.
"	"{Grundläggande Precision}

Increases the ranged attack damage inflicted by the selected unit.
"	"{Avancerad Precision}

Increases the ranged attack damage inflicted by the selected unit.

Effect is twice that of Grundläggande Precision.
"	"{Sofistikerad Precision}

Increases the ranged attack damage inflicted by all friendly units.

Effect is twice that of Grundläggande Precision.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Svaghet	Svaghet	2	 	x	 	 	8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Svaghet}

Reduces the selected enemy unit's attack strength.
"	"{Grundläggande Svaghet}

Reduces the selected enemy unit's attack strength.
"	"{Avancerad Svaghet}

Reduces the selected enemy unit's attack strength.

Effect is twice that of Grundläggande Svaghet.
"	"{Sofistikerad Svaghet}

Reduces the attack strength of all enemy units.

Effect is twice that of Grundläggande Svaghet.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Stenskinn	Stenskinn	1	x	 	 	 	5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Stenskinn}

Increases the selected unit's defense strength.
"	"{Grundläggande Stenskinn}

Increases the selected unit's defense strength.
"	"{Avancerad Stenskinn}

Increases the selected unit's defense strength.

Effect is twice that of Grundläggande Stenskinn.
"	"{Sofistikerad Stenskinn}

Increases the defense strength of all friendly units.

Effect is twice that of Grundläggande Stenskinn.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Störande Stråle	Störande Stråle	2	 	 	 	x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Störande Stråle}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.
"	"{Grundläggande Störande Stråle}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.
"	"{Avancerad Störande Stråle}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.

Effect is greater than that of Grundläggande Störande Stråle.
"	"{Sofistikerad Störande Stråle}

Reduces the selected enemy unit's defense strength.  A single enemy may be targeted multiple times by this spell.

Effect is greater than that of Avancerad Störande Stråle.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Bön	Bön	4	 	x	 	 	16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Bön}

Bestows a bonus to the attack strength, defense strength and speed of the selected unit.
"	"{Grundläggande Bön}

Bestows a bonus to the attack strength, defense strength and speed of the selected unit.
"	"{Avancerad Bön}

Bestows a bonus to the attack strength, defense strength and speed of the selected unit.

Effect is twice that of Grundläggande Bön.
"	"{Sofistikerad Bön}

Bestows a bonus to the attack strength, defense strength and speed of all friendly units.

Effect is twice that of Grundläggande Bön.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Glädje	Glädje	3	 	x	 	 	12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Glädje}

Increases the selected unit's morale.
"	"{Grundläggande Glädje}

Increases the selected unit's morale.
"	"{Avancerad Glädje}

Increases the selected unit's morale.

Effect is twice that of Grundläggande Glädje.
"	"{Sofistikerad Glädje}

Increases the morale of all friendly units.

Effect is twice that of Grundläggande Glädje.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Sorg	Sorg	4	x	 	 	 	16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Sorg}

Reduces the morale of the selected enemy unit.
"	"{Grundläggande Sorg}

Reduces the morale of the selected enemy unit.
"	"{Avancerad Sorg}

Reduces the morale of the selected enemy unit.

Effect is twice that of Grundläggande Sorg.
"	"{Sofistikerad Sorg}

Reduces the morale of all enemy units.

Effect is twice that of Grundläggande Sorg.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Flax	Flax	2	 	 	 	x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Flax}

Increases the selected unit's luck.
"	"{Grundläggande Flax}

Increases the selected unit's luck.
"	"{Avancerad Flax}

Increases the selected unit's luck.

Effect is twice that of Grundläggande Flax.
"	"{Sofistikerad Flax}

Increases the luck of all friendly units.

Effect is twice that of Grundläggande Flax.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Otur	Otur	3	 	 	x	 	12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Otur}

Reduces the luck of the selected enemy unit.
"	"{Grundläggande Otur}

Reduces the luck of the selected enemy unit.

Spell Point cost is half that of Normal Otur.
"	"{Avancerad Otur}

Reduces the luck of the selected enemy unit.

Effect is twice that of Grundläggande Otur.
"	"{Sofistikerad Otur}

Reduces the luck of all enemy units.

Effect is twice that of Grundläggande Otur.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Skynda	Skynda	1		 	 	x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Skynda}

Increases the speed of the selected unit.
"	"{Grundläggande Skynda}

Increases the speed of the selected unit.
"	"{Avancerad Skynda}

Increases the speed of the selected unit.

Effect is nearly twice that of Grundläggande Skynda.
"	"{Sofistikerad Skynda}

Increases the speed of all friendly units.

Effect is nearly twice that of Grundläggande Skynda.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Sakta Ner	Sakta Ner	1	x	 	 	 	6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Sakta Ner}

Reduces the speed of the selected enemy unit.
"	"{Grundläggande Sakta Ner}

Reduces the speed of the selected enemy unit.
"	"{Avancerad Sakta Ner}

Reduces the speed of the selected enemy unit.

Effect is twice that of Grundläggande Sakta Ner.
"	"{Sofistikerad Sakta Ner}

Reduces the speed of all enemy units.

Effect is twice that of Grundläggande Sakta Ner.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Dräpare	Dräpare	4	 		x	 	16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Dräpare}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths and Hydras.
"	"{Grundläggande Dräpare}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths and Hydras.
"	"{Avancerad Dräpare}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths, Hydras, Devils and Angels.
"	"{Sofistikerad Dräpare}

Increases the amount of damage inflicted by a unit when fighting against Dragons, Behemoths, Hydras, Devils, Angels and Titans.
"	 COMBAT_SPELL|CREATURE_TARGET
Frenesi	Frenesi	4	 	 	x	 	16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Frenesi}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.
"	"{Grundläggande Frenesi}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.
"	"{Avancerad Frenesi}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.

Bonus to attack is 50% greater than Grundläggande Frenesi.
"	"{Sofistikerad Frenesi}

Selected troop intentionally lowers its defenses to increase the ferocity of its attack.

Bonus to attack is double Grundläggande Frenesi.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Titanens Åskblixt	Titanens Blixt	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Titanens Åskblixt}

Does 600 points of damage at no spell cost to the spellcaster."	"{Titanens Åskblixt}

Does 600 points of damage at no spell cost to the spellcaster."	"{Titanens Åskblixt}

Does 600 points of damage at no spell cost to the spellcaster."	"{Titanens Åskblixt}

Does 600 points of damage at no spell cost to the spellcaster."	
Motslag	Motslag	4	 	 	 	x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Motslag}

The selected unit will retaliate against one additional attack each round.
"	"{Grundläggande Motslag}

The selected unit will retaliate against one additional attack each round.
"	"{Avancerad Motslag}

The selected unit will retaliate against two additional attacks each round.
"	"{Sofistikerad Motslag}

All friendly units will retaliate against two additional attacks each round.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Bärsärkargång	Bärsärkargång	4	 	 	x	 	20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Bärsärkargång}

The targeted unit will randomly attack the nearest unit, be it friend or foe.
"	"{Grundläggande Bärsärkargång}

The targeted unit will randomly attack the nearest unit, be it friend or foe.
"	"{Avancerad Bärsärkargång}

The targeted unit will randomly attack the nearest unit, be it friend or foe.

Area of effect is six hexes greater than Grundläggande Bärsärkargång.
"	"{Sofistikerad Bärsärkargång}

The targeted unit will randomly attack the nearest unit, be it friend or foe.

Area of effect is eighteen hexes greater than Grundläggande Bärsärkargång.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Hypnotisera	Hypnotisera	3	 	 	 	x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Hypnotisera}

Puts an enemy unit temporarily under your control.
"	"{Grundläggande Hypnotisera}

Puts an enemy unit temporarily under your control.
"	"{Avancerad Hypnotisera}

Puts an enemy unit temporarily under your control.

Allows you to control an additional 10 hit points of enemies over Grundläggande Hypnotisera.
"	"{Sofistikerad Hypnotisera}

Puts an enemy unit temporarily under your control.

Allows you to control an additional 40 hit points of enemies over Grundläggande Hypnotisera.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Glömska	Glömska	3	 	x	 	 	12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Glömska}

Half of the selected enemy unit forgets to use its ranged attack.
"	"{Grundläggande Glömska}

Half of the selected enemy unit forgets to use its ranged attack.
"	"{Avancerad Glömska}

Causes the selected enemy unit to forget to use its ranged attack in combat.
"	"{Sofistikerad Glömska}

Causes all enemy troops to forget to use their ranged attack in combat.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Förblinda	Förblinda	2	 	 	x	 	10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Förblinda}

Förblindas a creature so that it cannot move and causes it to counterattack at half its normal attack strength.  Blindness persists until the unit is attacked or dispelled.
"	"{Grundläggande Förblinda}

Förblindas a creature so that it cannot move and causes it to counterattack at half its normal attack strength.  Blindness persists until the unit is attacked or dispelled.
"	"{Avancerad Förblinda}

Förblindas a creature so that it cannot move and causes it to counterattack at one-quarter of its normal attack strength.  Blindness persists until the unit is attacked or dispelled.
"	"{Sofistikerad Förblinda}

Förblindas a creature so that it cannot move or counterattack.  Blindness persists until the unit is attacked or dispelled.
"	 COMBAT_SPELL|CREATURE_TARGET
Teleportera	Teleportera	3	 	x	 	 	15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Teleportera}

Teleporteras any friendly unit to any unoccupied spot on the battlefield.
"	"{Grundläggande Teleportera}

Teleporteras any friendly unit to an unoccupied spot on the battlefield.

Troop cannot Teleportera over walls or moats.
"	"{Avancerad Teleportera}

Teleporteras any friendly unit to an unoccupied spot on the battlefield.

Troop cannot Teleportera over walls.
"	"{Sofistikerad Teleportera}

Teleporteras any friendly unit to any unoccupied spot on the battlefield.
"	 COMBAT_SPELL|CREATURE_TARGET
Ta bort Hinder	Ta bort Hinder	2	 	x	 	 	7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Ta bort Hinder}

Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Grundläggande Ta bort Hinder}

Removes any normal obstacle (trees, rocks, etc.) of the caster's choice from the battlefield.
"	"{Avancerad Ta bort Hinder}

Removes any normal obstacle (trees, rocks, etc.) or Fire Wall of the caster's choice from the battlefieldlix"	"{Sofistikerad Ta bort Hinder}

Removes any normal or magical obstacle of the caster's choice from the battlefield.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Klona	Klona	4	 	x	 	 	24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Klona}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Klonas creatures of levels 1-5.
"	"{Grundläggande Klona}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Klonas creatures of levels 1-5.
"	"{Avancerad Klona}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Klonas creatures of levels 1-6.
"	"{Sofistikerad Klona}

Creates a duplicate of the selected unit stack.  The image is dispelled if it is attacked.

Klonas creatures of any level.
"	 COMBAT_SPELL|CREATURE_TARGET
Fire Elemental	Fire Elemental	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Summon Fire Elemental}

Allows you to summon fire elementals.  Once cast, no other elemental types may be summoned.
"	"{Grundläggande Summon Fire Elemental}

Allows you to summon fire elementals.  Once cast, no other elemental types may be summoned.
"	"{Avancerad Summon Fire Elemental}

Allows you to summon fire elementals.  Once cast, no other elemental types may be summoned.

Summons approximately one-and-a-half times the number of units as Grundläggande Summon Fire Elemental.
"	"{Sofistikerad Summon Fire Elemental}

Allows you to summon fire elementals.  Once cast, no other elemental types may be summoned.

Summons approximately twice the number of units as Grundläggande Summon Fire Elemental.
"	 COMBAT_SPELL
Earth Elemental	Earth Elemental	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Summon Earth Elemental}

Allows you to summon earth elementals.  Once cast, no other elemental types may be summoned.
"	"{Grundläggande Summon Earth Elemental}

Allows you to summon earth elementals.  Once cast, no other elemental types may be summoned.
"	"{Avancerad Summon Earth Elemental}

Allows you to summon earth elementals.  Once cast, no other elemental types may be summoned.

Summons approximately one-and-a-half times the number of units as Grundläggande Summon Creature.
"	"{Sofistikerad Summon Earth Elemental}

Allows you to summon earth elementals.  Once cast, no other elemental types may be summoned.

Summons approximately twice the number of units as Grundläggande Summon Creature.
"	 COMBAT_SPELL
Water Elemental	Water Elemental	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Summon Water Elemental}

Allows you to summon water elementals.  Once cast, no other elemental types may be summoned.
"	"{Grundläggande Summon Water Elemental}

Allows you to summon water elementals.  Once cast, no other elemental types may be summoned.
"	"{Avancerad Summon Water Elemental}

Allows you to summon water elementals.  Once cast, no other elemental types may be summoned.

Summons approximately one-and-a-half times the number of units as Grundläggande Summon Water Elemental.
"	"{Sofistikerad Summon Water Elemental}

Allows you to summon water elementals.  Once cast, no other elemental types may be summoned.

Summons approximately twice the number of units as Grundläggande Summon Water Elemental.
"	 COMBAT_SPELL
Air Elemental	Air Elemental	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Summon Air Elemental}

Allows you to summon air elementals.  Once cast, no other elemental types may be summoned.
"	"{Grundläggande Summon Air Elemental}

Allows you to summon air elementals.  Once cast, no other elemental types may be summoned.
"	"{Avancerad Summon Air Elemental}

Allows you to summon air elementals.  Once cast, no other elemental types may be summoned.

Summons approximately one-and-a-half times the number of units as Grundläggande Summon Air Elemental.
"	"{Sofistikerad Summon Air Elemental}

Allows you to summon air elementals.  Once cast, no other elemental types may be summoned.

Summons approximately twice the number of units as Grundläggande Summon Air Elemental.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Förstenande Blick	Förstenande Blick	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Förgifta	Förgifta	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Bind	Bind	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Sjukdom	Sjukdom	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Paralysera	Paralysera	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Föråldra	Föråldra	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Dödsmoln	Dödsmoln	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Åskblixt	Åskblixt	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Bryt hjälpande förtrollningar	Bryt hjälpande förtrollningar	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Dödsblick	Dödsblick	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Syrlig andedräkt	Syrlig andedräkt	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
